Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
168,380,171,0.45,15.2,1833,0.7,0.3,25,34.79
169,380,190,0.5,15.2,1814,0.7,0.3,25,36.85
170,380,209,0.55,15.2,1795,0.7,0.3,25,29.43
171,380,228,0.6,15.2,1776,0.7,0.3,25,25.5
172,390,175.5,0.45,15.6,1818.5,0.7,0.3,25,38.27
173,390,195,0.5,15.6,1799,0.7,0.3,25,37.18
174,390,214.5,0.55,15.6,1779.5,0.7,0.3,25,28.6
175,390,234,0.6,15.6,1760,0.7,0.3,25,25.4
176,400,180,0.45,16,1804,0.7,0.3,25,35.76
177,400,200,0.5,16,1784,0.7,0.3,25,37.52
178,400,220,0.55,16,1764,0.7,0.3,25,27.77
179,400,240,0.6,16,1744,0.7,0.3,25,25.3
180,410,184.5,0.45,16.4,1789.5,0.7,0.3,25,36.24
181,410,205,0.5,16.4,1769,0.7,0.3,25,37.85
182,410,225.5,0.55,16.4,1748.5,0.7,0.3,25,26.95
183,410,246,0.6,16.4,1728,0.7,0.3,25,25.2
184,420,189,0.45,16.8,1775,0.7,0.3,25,36.69
185,420,210,0.5,16.8,1754,0.7,0.3,25,38.16
186,420,231,0.55,16.8,1733,0.7,0.3,25,26.17
187,420,252,0.6,16.8,1712,0.7,0.3,25,25.11
188,430,193.5,0.45,17.2,1760.5,0.7,0.3,25,35.7
189,430,215,0.5,17.2,1739,0.7,0.3,25,38.43
190,430,236.5,0.55,17.2,1717.5,0.7,0.3,25,26.01
191,430,258,0.6,17.2,1696,0.7,0.3,25,23.62
192,440,198,0.45,17.6,1746,0.7,0.3,25,34.86
193,440,220,0.5,17.6,1724,0.7,0.3,25,38.66
194,440,242,0.55,17.6,1702,0.7,0.3,25,25.88
195,440,264,0.6,17.6,1680,0.7,0.3,25,22.4
196,450,202.5,0.45,18,1731.5,0.7,0.3,25,33.81
197,450,225,0.5,18,1709,0.7,0.3,25,38.96
198,450,247.5,0.55,18,1686.5,0.7,0.3,25,25.71
199,450,270,0.6,18,1664,0.7,0.3,25,20.76
200,360,162,0.45,14.4,1862,0.7,0.3,60,41.53
201,360,180,0.5,14.4,1844,0.7,0.3,60,42.56
202,360,198,0.55,14.4,1826,0.7,0.3,60,33.94
203,360,216,0.6,14.4,1808,0.7,0.3,60,25.58
204,370,166.5,0.45,14.8,1847.5,0.7,0.3,60,41.34
205,370,185,0.5,14.8,1829,0.7,0.3,60,42.72
206,370,203.5,0.55,14.8,1810.5,0.7,0.3,60,33.49
207,370,222,0.6,14.8,1792,0.7,0.3,60,28.3
208,380,171,0.45,15.2,1833,0.7,0.3,60,41.15
209,380,190,0.5,15.2,1814,0.7,0.3,60,42.88
210,380,209,0.55,15.2,1795,0.7,0.3,60,33.03
211,380,228,0.6,15.2,1776,0.7,0.3,60,28.01
212,390,175.5,0.45,15.6,1818.5,0.7,0.3,60,40.96
213,390,195,0.5,15.6,1799,0.7,0.3,60,43.03
214,390,214.5,0.55,15.6,1779.5,0.7,0.3,60,32.58
215,390,234,0.6,15.6,1760,0.7,0.3,60,27.73
216,400,180,0.45,16,1804,0.7,0.3,60,40.78
217,400,200,0.5,16,1784,0.7,0.3,60,43.19
218,400,220,0.55,16,1764,0.7,0.3,60,32.12
219,400,240,0.6,16,1744,0.7,0.3,60,27.44
220,410,184.5,0.45,16.4,1789.5,0.7,0.3,60,40.59
221,410,205,0.5,16.4,1769,0.7,0.3,60,43.35
222,410,225.5,0.55,16.4,1748.5,0.7,0.3,60,31.67
223,410,246,0.6,16.4,1728,0.7,0.3,60,27.16
224,420,189,0.45,16.8,1775,0.7,0.3,60,40.41
225,420,210,0.5,16.8,1754,0.7,0.3,60,43.5
226,420,231,0.55,16.8,1733,0.7,0.3,60,31.24
227,420,252,0.6,16.8,1712,0.7,0.3,60,26.89
228,430,193.5,0.45,17.2,1760.5,0.7,0.3,60,39.8
229,430,215,0.5,17.2,1739,0.7,0.3,60,43.84
230,430,236.5,0.55,17.2,1717.5,0.7,0.3,60,32.59
231,430,258,0.6,17.2,1696,0.7,0.3,60,27.77
232,440,198,0.45,17.6,1746,0.7,0.3,60,39.19
233,440,220,0.5,17.6,1724,0.7,0.3,60,44.18
234,440,242,0.55,17.6,1702,0.7,0.3,60,33.95
235,440,264,0.6,17.6,1680,0.7,0.3,60,28.65
236,450,202.5,0.45,18,1731.5,0.7,0.3,60,38.63
237,450,225,0.5,18,1709,0.7,0.3,60,44.49
238,450,247.5,0.55,18,1686.5,0.7,0.3,60,35.2
239,450,270,0.6,18,1664,0.7,0.3,60,29.46
